Country,Code,2016,2017,2018,2019,2020
Aruba,ABW,2983636872,3092430168,3202188607,,
Africa Eastern and Southern,AFE,8.73E+11,9.85E+11,1.01E+12,1.01E+12,9.21E+11
Afghanistan,AFG,18116562465,18753469630,18053228579,18799450743,20116137326
Africa Western and Central,AFW,6.91E+11,6.84E+11,7.42E+11,7.95E+11,7.85E+11
Angola,AGO,1.01E+11,1.22E+11,1.01E+11,89417190341,58375976293
Albania,ALB,11861199831,13019689337,15156432310,15400242875,14887629268
Andorra,AND,2896679212,3000180750,3218316013,3155065488,
Arab World,ARB,2.41E+12,2.47E+12,2.73E+12,2.78E+12,2.45E+12
United Arab Emirates,ARE,3.57E+11,3.86E+11,4.22E+11,4.17E+11,3.59E+11
Argentina,ARG,5.58E+11,6.44E+11,5.25E+11,4.52E+11,3.89E+11
Armenia,ARM,10546135160,11527458566,12457941907,13619291361,12641209802
American Samoa,ASM,671000000,612000000,639000000,648000000,709000000
Antigua and Barbuda,ATG,1436585185,1467977778,1605944444,1687533333,1370281481
Australia,AUS,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12
Austria,AUT,3.96E+11,4.16E+11,4.55E+11,4.45E+11,4.33E+11
Azerbaijan,AZE,37867518957,40865558912,47112941176,48174235294,42607176471
Burundi,BDI,2732808557,2748180474,2668495743,2631434363,2841786382
Belgium,BEL,4.76E+11,5.02E+11,5.43E+11,5.35E+11,5.22E+11
Benin,BEN,11821066153,12701654743,14262407012,14391686633,15651545332
Burkina Faso,BFA,12833363370,14106956830,15890065020,16178162030,17933606353
Bangladesh,BGD,2.21E+11,2.50E+11,2.74E+11,3.03E+11,3.23E+11
Bulgaria,BGR,53953897624,59199447421,66363422450,68915416142,69889347433
Bahrain,BHR,32234973404,35473776596,37801462766,38652579787,34729228723
"Bahamas, The",BHS,11992600000,12359700000,12837800000,13164400000,9907500000
Bosnia and Herzegovina,BIH,16914287349,18079075771,20177409351,20201323260,19946496563
Belarus,BLR,47722657821,54726595249,60031262269,64409647194,60258239056
Belize,BLZ,1789304088,1858529677,1915899787,1982518541,1636280797
Bermuda,BMU,6899911000,7142316000,7224329000,7484113000,6842700000
Bolivia,BOL,33941126200,37508642165,40287647930,40895322844,36572764863
Brazil,BRA,1.80E+12,2.06E+12,1.92E+12,1.88E+12,1.44E+12
Barbados,BRB,4830000000,4978000000,5086500000,5209000000,4418000000
Brunei Darussalam,BRN,11400854268,12128104859,13567351175,13469422959,12005825770
Bhutan,BTN,2158972129,2450364928,2446866405,2535657069,2315437338
Botswana,BWA,15082578065,16088437675,16914245098,16593720656,15061922802
Central African Republic,CAF,1825018191,2072349794,2220978978,2220307369,2380087758
Canada,CAN,1.53E+12,1.65E+12,1.73E+12,1.74E+12,1.65E+12
Central Europe and the Baltics,CEB,1.32E+12,1.46E+12,1.65E+12,1.67E+12,1.65E+12
Switzerland,CHE,6.96E+11,7.04E+11,7.36E+11,7.32E+11,7.52E+11
Channel Islands,CHI,,,,,
Chile,CHL,2.50E+11,2.77E+11,2.98E+11,2.79E+11,2.53E+11
China,CHN,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13
Cote d'Ivoire,CIV,47964234560,51588158718,58011466451,58539424930,61348579465
Cameroon,CMR,33814337900,36098550142,39973839065,39670977333,40804449726
"Congo, Dem. Rep.",COD,37134799975,38019265626,47146004587,50400747050,48716960860
"Congo, Rep.",COG,10215989995,11090177747,13670036996,12750339023,10187122341
Colombia,COL,2.83E+11,3.12E+11,3.34E+11,3.23E+11,2.71E+11
Comoros,COM,1012835518,1077439663,1188797575,1192559739,1235400352
Cabo Verde,CPV,1662998678,1768319144,1966503223,1981845741,1703698677
Costa Rica,CRI,58847016045,60516043590,62420165100,64072870932,61846895121
Caribbean small states,CSS,69598702058,71693634217,75312833438,76173669481,66039332389
Cuba,CUB,91370000000,96851000000,1.00E+11,1.03E+11,1.07E+11
Curacao,CUW,3122287933,3116610112,3127908045,3101787709,2595821709
Cayman Islands,CYM,4909498980,5166467299,5522625585,5935769351,5591623665
Cyprus,CYP,20953442550,22870833710,25522671233,25758357775,24612646488
Czech Republic,CZE,1.96E+11,2.19E+11,2.49E+11,2.52E+11,2.45E+11
Germany,DEU,3.47E+12,3.68E+12,3.98E+12,3.89E+12,3.85E+12
Djibouti,DJI,2603540257,2751445574,3012803457,3324615549,3384385217
Dominica,DMA,576229629.6,519837037,550622222.2,611537037,504214814.8
Denmark,DNK,3.13E+11,3.32E+11,3.57E+11,3.48E+11,3.56E+11
Dominican Republic,DOM,75704720190,79997975622,85555378043,88941299734,78844702329
Algeria,DZA,1.60E+11,1.70E+11,1.75E+11,1.72E+11,1.45E+11
East Asia & Pacific (excluding high income),EAP,1.36E+13,1.48E+13,1.66E+13,1.71E+13,1.74E+13
Early-demographic dividend,EAR,1.03E+13,1.11E+13,1.12E+13,1.15E+13,1.07E+13
East Asia & Pacific,EAS,2.27E+13,2.43E+13,2.64E+13,2.70E+13,2.71E+13
Europe & Central Asia (excluding high income),ECA,2.97E+12,3.33E+12,3.42E+12,3.49E+12,3.22E+12
Europe & Central Asia,ECS,2.04E+13,2.16E+13,2.32E+13,2.29E+13,2.21E+13
Ecuador,ECU,99937696000,1.04E+11,1.08E+11,1.08E+11,98808010000
"Egypt, Arab Rep.",EGY,3.32E+11,2.36E+11,2.50E+11,3.03E+11,3.65E+11
Euro area,EMU,1.20E+13,1.26E+13,1.37E+13,1.34E+13,1.30E+13
Eritrea,ERI,,,,,
Spain,ESP,1.23E+12,1.31E+12,1.42E+12,1.39E+12,1.28E+12
Estonia,EST,24056487771,26857880622,30474612057,31045591753,30650285472
Ethiopia,ETH,74296618481,81770791971,84269348327,95912590628,1.08E+11
European Union,EUU,1.39E+13,1.47E+13,1.60E+13,1.57E+13,1.53E+13
Fragile and conflict affected situations,FCS,1.41E+12,1.44E+12,1.57E+12,1.66E+12,1.51E+12
Finland,FIN,2.41E+11,2.55E+11,2.76E+11,2.69E+11,2.70E+11
Fiji,FJI,4930204230,5353404422,5581371848,5496264766,4533883782
France,FRA,2.47E+12,2.59E+12,2.79E+12,2.73E+12,2.63E+12
Faroe Islands,FRO,2738832687,2899226098,3051341336,3126293220,
"Micronesia, Fed. Sts.",FSM,332265200,366666800,401932300,408057100,410083600
Gabon,GAB,14023890620,14929488771,16867325127,16874405840,15316826192
United Kingdom,GBR,2.72E+12,2.70E+12,2.90E+12,2.88E+12,2.76E+12
Georgia,GEO,15141758567,16242916916,17599700091,17477255562,15846489611
Ghana,GHA,56165172899,60406382899,67299280680,68337537816,68532281806
Gibraltar,GIB,,,,,
Guinea,GIN,8595955581,10324668267,11857030337,13513809258,15681050917
"Gambia, The",GMB,1484579844,1504909753,1670670669,1812529105,1868086275
Guinea-Bissau,GNB,1179004941,1350177128,1504630121,1439638443,1431758243
Equatorial Guinea,GNQ,11240808847,12200913888,13097012189,11417278045,10021856754
Greece,GRC,1.93E+11,1.99E+11,2.12E+11,2.05E+11,1.89E+11
Grenada,GRD,1061640741,1125685185,1166523556,1212694407,1042100556
Greenland,GRL,2707146783,2851610656,3040414278,2982247279,
Guatemala,GTM,66053725049,71654134379,73208583759,77020015201,77604632171
Guam,GUM,5901000000,6013000000,6060000000,6364000000,5844000000
Guyana,GUY,4482697337,4748174334,4787636237,5173760192,5471256595
High income,HIC,4.91E+13,5.13E+13,5.46E+13,5.50E+13,5.35E+13
"Hong Kong SAR, China",HKG,3.21E+11,3.41E+11,3.62E+11,3.63E+11,3.47E+11
Honduras,HND,21566622850,22975415842,23900438564,24915522849,23662231634
Heavily indebted poor countries (HIPC),HPC,6.68E+11,7.20E+11,7.68E+11,7.90E+11,7.98E+11
Croatia,HRV,52295158344,56214427431,62247874949,62246206341,57203783203
Haiti,HTI,13987693739,15035560373,16455034353,14785839383,14508218017
Hungary,HUN,1.29E+11,1.43E+11,1.61E+11,1.64E+11,1.56E+11
IBRD only,IBD,2.60E+13,2.87E+13,3.05E+13,3.12E+13,2.99E+13
IDA & IBRD total,IBT,2.79E+13,3.07E+13,3.26E+13,3.34E+13,3.21E+13
IDA total,IDA,1.96E+12,2.03E+12,2.15E+12,2.24E+12,2.24E+12
IDA blend,IDB,9.42E+11,9.25E+11,9.66E+11,9.98E+11,9.62E+11
Indonesia,IDN,9.32E+11,1.02E+12,1.04E+12,1.12E+12,1.06E+12
IDA only,IDX,1.02E+12,1.10E+12,1.18E+12,1.24E+12,1.28E+12
Isle of Man,IMN,6846691871,6979581725,7491969313,7315388052,
India,IND,2.29E+12,2.65E+12,2.70E+12,2.87E+12,2.66E+12
Not classified,INX,,,,,
Ireland,IRL,2.99E+11,3.35E+11,3.85E+11,3.99E+11,4.26E+11
"Iran, Islamic Rep.",IRN,4.18E+11,4.45E+11,2.94E+11,2.58E+11,2.03E+11
Iraq,IRQ,1.67E+11,1.87E+11,2.27E+11,2.35E+11,1.67E+11
Iceland,ISL,20793168031,24728285177,26267063758,24857740445,21718075725
Israel,ISR,3.19E+11,3.55E+11,3.74E+11,3.98E+11,4.07E+11
Italy,ITA,1.88E+12,1.96E+12,2.09E+12,2.01E+12,1.89E+12
Jamaica,JAM,14077109397,14808989993,15730793853,15830768550,13812425037
Jordan,JOR,39892551127,41408960845,42932112676,44502895915,43697659296
Japan,JPN,5.00E+12,4.93E+12,5.04E+12,5.15E+12,5.06E+12
Kazakhstan,KAZ,1.37E+11,1.67E+11,1.79E+11,1.82E+11,1.71E+11
Kenya,KEN,74815121315,82035800868,92202956321,1.01E+11,1.01E+11
Kyrgyz Republic,KGZ,6813092066,7702934800,8271108638,8871026074,7735976273
Cambodia,KHM,20016747754,22177200512,24571753583,27089389787,25808561551
Kiribati,KIR,178328984.1,187276124.8,200157020.6,188391770.6,197508774.3
St. Kitts and Nevis,KNA,1008888889,1060740741,1078518519,1164814815,980740740.7
"Korea, Rep.",KOR,1.50E+12,1.62E+12,1.72E+12,1.65E+12,1.64E+12
Kuwait,KWT,1.09E+11,1.21E+11,1.38E+11,1.36E+11,1.06E+11
Latin America & Caribbean (excluding high income),LAC,4.53E+12,5.05E+12,4.91E+12,4.85E+12,4.04E+12
Lao PDR,LAO,15912495369,17071162084,18141651381,18897252233,19132635712
Lebanon,LBN,51389318291,53324800959,55276157552,51953744507,31735217785
Liberia,LBR,3398419600,3390703400,3422754800,3319596500,3201187800
Libya,LBY,26197143268,37883243650,52607888718,52091152228,25418916029
St. Lucia,LCA,1865513444,1996771444,2065127259,2118791556,1616772741
Latin America & Caribbean,LCN,5.25E+12,5.83E+12,5.70E+12,5.63E+12,4.73E+12
Least developed countries: UN classification,LDC,9.36E+11,1.03E+12,1.06E+12,1.11E+12,1.11E+12
Low income,LIC,3.87E+11,4.09E+11,4.26E+11,4.48E+11,4.60E+11
Liechtenstein,LIE,6237264055,6474256119,6839145107,6684443550,
Sri Lanka,LKA,82401038710,87428128124,87963042341,83990946939,80676681934
Lower middle income,LMC,6.74E+12,7.25E+12,7.35E+12,7.74E+12,7.38E+12
Low & middle income,LMY,2.69E+13,2.96E+13,3.14E+13,3.22E+13,3.10E+13
Lesotho,LSO,2114323794,2306843529,2514146888,2366213069,1875227642
Late-demographic dividend,LTE,1.85E+13,2.06E+13,2.25E+13,2.30E+13,2.24E+13
Lithuania,LTU,43018087238,47640770634,53724663843,54697379017,56546957475
Luxembourg,LUX,62174650367,65549868207,71250208996,70195715496,73353132794
Latvia,LVA,28064533352,30408509602,34412210812,34308783825,33707320816
"Macao SAR, China",MAC,45070605746,50440941939,55284360483,55204758070,25586111076
St. Martin (French part),MAF,,,,,
Morocco,MAR,1.03E+11,1.10E+11,1.18E+11,1.20E+11,1.15E+11
Monaco,MCO,6472990923,6431314957,7194024563,7383745662,6816219303
Moldova,MDA,8071480541,9669759987,11456728401,11970233940,11915547263
Madagascar,MDG,11848613735,13176313594,13760033097,14104664515,13056079982
Maldives,MDV,4379136462,4754175869,5300962660,5607762625,3742769967
Middle East & North Africa,MEA,3.11E+12,3.23E+12,3.37E+12,3.41E+12,3.04E+12
Mexico,MEX,1.08E+12,1.16E+12,1.22E+12,1.27E+12,1.07E+12
Marshall Islands,MHL,201510900,213204100,221588900,239462200,244462400
Middle income,MIC,2.66E+13,2.92E+13,3.10E+13,3.18E+13,3.05E+13
North Macedonia,MKD,10672471861,11307058382,12683070061,12606338449,12263710123
Mali,MLI,14026048691,15365714371,17070866299,17280251194,17465392916
Malta,MLT,11721521913,13221298308,14864712990,15215714309,14647384608
Myanmar,MMR,60291738935,61449391917,67144726168,68697761477,79852046611
Middle East & North Africa (excluding high income),MNA,1.40E+12,1.38E+12,1.32E+12,1.34E+12,1.20E+12
Montenegro,MNE,4374128319,4844592067,5504166667,5542674317,4769860741
Mongolia,MNG,11181350461,11480847745,13178094459,14206359007,13312981595
Northern Mariana Islands,MNP,1230000000,1560000000,1302000000,1182000000,
Mozambique,MOZ,11936999283,13219084261,14845870051,15384701798,14019446610
Mauritania,MRT,6398744505,6799075419,7354430040,7889662452,7913680231
Mauritius,MUS,12232463656,13259351418,14181951059,14045808843,10920606198
Malawi,MWI,5433040160,8943543677,9880675786,11025357838,12182348213
Malaysia,MYS,3.01E+11,3.19E+11,3.59E+11,3.65E+11,3.37E+11
North America,NAC,2.03E+13,2.12E+13,2.23E+13,2.32E+13,2.26E+13
Namibia,NAM,10721994677,12895153160,13682062249,12496781720,10619194505
New Caledonia,NCL,8724568971,9173670000,9846920284,9438127994,
Niger,NER,10398862245,11185102400,12808660528,12916455161,13741378450
Nigeria,NGA,4.05E+11,3.76E+11,3.97E+11,4.48E+11,4.32E+11
Nicaragua,NIC,13286083645,13785876629,13025239912,12611218627,12621505383
Netherlands,NLD,7.84E+11,8.32E+11,9.14E+11,9.10E+11,9.14E+11
Norway,NOR,3.69E+11,3.98E+11,4.37E+11,4.05E+11,3.62E+11
Nepal,NPL,24524098184,28971589213,33111525183,34186180695,33657175561
Nauru,NRU,99723394.96,109359680.2,124021393.7,118724073.8,114626625.6
New Zealand,NZL,1.89E+11,2.07E+11,2.12E+11,2.13E+11,2.11E+11
OECD members,OED,4.84E+13,5.05E+13,5.35E+13,5.40E+13,5.24E+13
Oman,OMN,75128738622,80856697009,91505851756,88060858257,73971391417
Other small states,OSS,3.66E+11,3.98E+11,4.42E+11,4.33E+11,3.76E+11
Pakistan,PAK,2.79E+11,3.05E+11,3.15E+11,2.79E+11,2.63E+11
Panama,PAN,57907695409,62202725204,64929409212,66984427150,53977036995
Peru,PER,1.92E+11,2.11E+11,2.23E+11,2.28E+11,2.02E+11
Philippines,PHL,3.19E+11,3.28E+11,3.47E+11,3.77E+11,3.61E+11
Palau,PLW,298300000,285300000,284700000,274200000,257700000
Papua New Guinea,PNG,20759069103,22742613554,24109509853,24751344552,24668899683
Poland,POL,4.73E+11,5.27E+11,5.87E+11,5.97E+11,5.97E+11
Pre-demographic dividend,PRE,1.21E+12,1.26E+12,1.34E+12,1.41E+12,1.29E+12
Puerto Rico,PRI,1.04E+11,1.03E+11,1.01E+11,1.05E+11,1.03E+11
"Korea, Dem. People's Rep.",PRK,,,,,
Portugal,PRT,2.06E+11,2.21E+11,2.42E+11,2.40E+11,2.29E+11
Paraguay,PRY,36089550659,38997129474,40225448341,37906944075,35670301496
West Bank and Gaza,PSE,15405400000,16128000000,16276600000,17133500000,15561300000
Pacific island small states,PSS,9456355296,10212037558,10656209173,10641343380,9530487872
Post-demographic dividend,PST,4.57E+13,4.76E+13,5.05E+13,5.10E+13,4.96E+13
French Polynesia,PYF,,,,,
Qatar,QAT,1.52E+11,1.61E+11,1.83E+11,1.76E+11,1.44E+11
Romania,ROU,1.88E+11,2.12E+11,2.41E+11,2.50E+11,2.49E+11
Russian Federation,RUS,1.28E+12,1.57E+12,1.66E+12,1.69E+12,1.48E+12
Rwanda,RWA,8690485823,9253098954,9640280084,10355974217,10333991456
South Asia,SAS,2.93E+12,3.35E+12,3.44E+12,3.60E+12,3.39E+12
Saudi Arabia,SAU,6.45E+11,6.89E+11,7.87E+11,7.93E+11,7.00E+11
Sudan,SDN,42630376000,41283617976,30964349685,26155799325,21329109522
Senegal,SEN,19040312815,20996564752,23116699808,23306213742,24644234595
Singapore,SGP,3.19E+11,3.43E+11,3.76E+11,3.74E+11,3.40E+11
Solomon Islands,SLB,1378551118,1483758907,1574599183,1570093229,1545888426
Sierra Leone,SLE,3674794530,3719369107,4085114794,4076578543,4063289450
El Salvador,SLV,24191430000,24979190000,26020850000,26896660000,24638720000
San Marino,SMR,1468377272,1528630707,1655300873,1616369646,
Somalia,SOM,5529873480,5609000000,5850677296,6476674592,6965285325
Serbia,SRB,40692643373,44179055280,50640650221,51514222382,53335016425
Sub-Saharan Africa (excluding high income),SSA,1.56E+12,1.67E+12,1.75E+12,1.80E+12,1.70E+12
South Sudan,SSD,,,,,
Sub-Saharan Africa,SSF,1.56E+12,1.67E+12,1.75E+12,1.80E+12,1.71E+12
Small states,SST,4.45E+11,4.80E+11,5.28E+11,5.20E+11,4.51E+11
Sao Tome and Principe,STP,345495615,375614126.2,412253809.7,427425039.7,472914469.9
Suriname,SUR,3317438911,3591623596,3996247906,3984483762,2884248048
Slovak Republic,SVK,89614053144,95157888667,1.06E+11,1.05E+11,1.05E+11
Slovenia,SVN,44736333522,48469082710,54137142149,54178877606,53589609581
Sweden,SWE,5.16E+11,5.41E+11,5.55E+11,5.34E+11,5.41E+11
Eswatini,SWZ,3816022047,4402969226,4665420239,4495679481,3972728948
Sint Maarten (Dutch part),SXM,1263687151,1191620112,1185474860,,
Seychelles,SYC,1426651769,1528242026,1547690759,1582841059,1059886364
Syrian Arab Republic,SYR,12356980639,16112991412,21490335086,22777882165,
Turks and Caicos Islands,TCA,1032452000,1022365000,1113178000,1197415000,924583000
Chad,TCD,10097778354,10000395242,11239167048,11314951343,10829076802
East Asia & Pacific (IDA & IBRD countries),TEA,1.35E+13,1.48E+13,1.66E+13,1.71E+13,1.74E+13
Europe & Central Asia (IDA & IBRD countries),TEC,3.49E+12,3.91E+12,4.07E+12,4.15E+12,3.88E+12
Togo,TGO,6031632168,6395472574,7112200725,7220395248,7574636979
Thailand,THA,4.13E+11,4.56E+11,5.07E+11,5.44E+11,5.02E+11
Tajikistan,TJK,6992393787,7536439875,7765014424,8300784857,8194150302
Turkmenistan,TKM,36169428571,37926285714,40765428571,45231428571,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.01E+12,5.59E+12,5.46E+12,5.38E+12,4.48E+12
Timor-Leste,TLS,1650618500,1615609700,1583876200,2047931700,1902156800
Middle East & North Africa (IDA & IBRD countries),TMN,1.39E+12,1.37E+12,1.30E+12,1.33E+12,1.18E+12
Tonga,TON,420540178.6,460379145,489235527.4,512350059.4,488829964.1
South Asia (IDA & IBRD),TSA,2.93E+12,3.35E+12,3.44E+12,3.60E+12,3.39E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.56E+12,1.67E+12,1.75E+12,1.80E+12,1.71E+12
Trinidad and Tobago,TTO,22386264807,22385426654,23679919655,23208326548,21588037505
Tunisia,TUN,44360775649,42163974956,42570270107,41804581484,41620349986
Turkey,TUR,8.70E+11,8.59E+11,7.78E+11,7.61E+11,7.20E+11
Tuvalu,TUV,36547799.58,40619251.99,42588164.97,47271463.33,48855550.2
Tanzania,TZA,49774021003,53320625959,57003713611,61136873692,62409709111
Uganda,UGA,29203988815,30744473912,32927025573,35353060634,37600368181
Ukraine,UKR,93355993629,1.12E+11,1.31E+11,1.54E+11,1.55E+11
Upper middle income,UMC,1.98E+13,2.19E+13,2.36E+13,2.40E+13,2.32E+13
Uruguay,URY,57236652490,64233966861,64515038268,61231149881,53628827440
United States of America,USA,1.87E+13,1.95E+13,2.06E+13,2.14E+13,2.10E+13
Uzbekistan,UZB,86138288615,62081323299,52633143808,59907674027,59929951114
St. Vincent and the Grenadines,VCT,774429629.6,792177777.8,811300000,825040740.7,807474074.1
"Venezuela, RB",VEN,,,,,
British Virgin Islands,VGB,,,,,
Virgin Islands (U.S.),VIR,3798000000,3794000000,3900000000,4068000000,
Vietnam,VNM,2.05E+11,2.24E+11,2.45E+11,2.62E+11,2.71E+11
Vanuatu,VUT,780889605.9,880043553.7,914727908.1,934521604.6,881547928.6
World,WLD,7.63E+13,8.12E+13,8.63E+13,8.76E+13,8.47E+13
Samoa,WSM,799493884.3,832025574,821286927.5,852007112.7,807100820.6
Kosovo,XKX,6682832632,7180813376,7878508503,7899879086,7716925356
"Yemen, Rep.",YEM,31317365269,26840128755,21606140907,,
South Africa,ZAF,3.24E+11,3.81E+11,4.05E+11,3.88E+11,3.35E+11
Zambia,ZMB,20958412538,25873601261,26311590297,23308667781,18110631358
Zimbabwe,ZWE,20548678100,17584890937,18115543791,19284289739,18051170799
